"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"bh_account_3726","Output Tax","104301","account.data_account_type_current_assets","l10n_bh.bh_chart_template_standard","False"
"bh_account_3785","Input Tax","204311","account.data_account_type_current_liabilities","l10n_bh.bh_chart_template_standard","False"
"bh_account_3942","Non-claimable VAT","611100","account.data_account_type_expenses","l10n_bh.bh_chart_template_standard","False"
"bh_account_3943","Tax Adjustments Clearing","123456","account.data_account_type_current_assets","l10n_bh.bh_chart_template_standard","False"
"bh_account_3681","Accounts Receivable","102222","account.data_account_type_receivable","l10n_bh.bh_chart_template_standard","True"
"bh_account_3753","Accounts Payable","2021","account.data_account_type_payable","l10n_bh.bh_chart_template_standard","True"
"bh_account_3840","Cost of Goods Sold in Trading","5011","account.data_account_type_expenses","l10n_bh.bh_chart_template_standard","False"
"bh_account_3810","Sales Account","401100","account.data_account_type_revenue","l10n_bh.bh_chart_template_standard","False"
"bh_account_3911","Loss on Difference on Exchange","531102","account.data_account_type_expenses","l10n_bh.bh_chart_template_standard","False"
"bh_account_3833","Gain On Difference Of Exchange","422102","account.data_account_type_revenue","l10n_bh.bh_chart_template_standard","False"
"bh_account_3682","Accounts Receivable (PoS)","102101","account.data_account_type_receivable","l10n_bh.bh_chart_template_standard","True"


